"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2014","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51",""
"SURVEY","2013","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","153.2",""
"SURVEY","2013","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","76.2",""
"SURVEY","2013","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","42.7",""
"SURVEY","2012","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","151.3",""
"SURVEY","2012","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","66.6",""
"SURVEY","2012","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","49.3",""
"SURVEY","2011","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","175.1",""
"SURVEY","2011","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","65",""
"SURVEY","2011","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","54.7",""
"SURVEY","2010","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","167.5",""
"SURVEY","2010","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","64.9",""
"SURVEY","2010","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51.2",""
"SURVEY","2009","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","178",""
"SURVEY","2009","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","67",""
"SURVEY","2009","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2008","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","169",""
"SURVEY","2008","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.6",""
"SURVEY","2008","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","66.1",""
"SURVEY","2008","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","48.5",""
"SURVEY","2007","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","179.3",""
"SURVEY","2007","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.58",""
"SURVEY","2007","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","72.8",""
"SURVEY","2007","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","54.7",""
"SURVEY","2006","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","177.4",""
"SURVEY","2006","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.5",""
"SURVEY","2006","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","89.3",""
"SURVEY","2006","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52.6",""
"SURVEY","2005","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","186.7",""
"SURVEY","2005","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.93",""
"SURVEY","2005","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","84.3",""
"SURVEY","2005","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","56.1",""
"SURVEY","2004","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188.9",""
"SURVEY","2004","YEAR","","AGRICULTURAL DISTRICT","IOWA","19","CENTRAL","50","","","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.1",""
