"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2013","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","155.2",""
"SURVEY","2013","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","41.1",""
"SURVEY","2012","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","147.1",""
"SURVEY","2012","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","72.4",""
"SURVEY","2012","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","45.2",""
"SURVEY","2011","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","182.5",""
"SURVEY","2011","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","51.2",""
"SURVEY","2010","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","162.5",""
"SURVEY","2010","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","76.2",""
"SURVEY","2010","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","46.6",""
"SURVEY","2009","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","184",""
"SURVEY","2009","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2008","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","166",""
"SURVEY","2008","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.4",""
"SURVEY","2008","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","63.6",""
"SURVEY","2008","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2007","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","182.2",""
"SURVEY","2007","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.76",""
"SURVEY","2007","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","77.8",""
"SURVEY","2007","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","54.2",""
"SURVEY","2006","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","172.7",""
"SURVEY","2006","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.02",""
"SURVEY","2006","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","96.3",""
"SURVEY","2006","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","50",""
"SURVEY","2005","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.4",""
"SURVEY","2005","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.7",""
"SURVEY","2005","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","86.7",""
"SURVEY","2005","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","56.3",""
"SURVEY","2004","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.2",""
"SURVEY","2004","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.93",""
"SURVEY","2004","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2003","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","170.4",""
"SURVEY","2003","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.7",""
"SURVEY","2003","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","98.5",""
"SURVEY","2003","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","34.8",""
"SURVEY","2002","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","171",""
"SURVEY","2002","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2002","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","91.8",""
"SURVEY","2002","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","47.7",""
"SURVEY","2001","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","154",""
"SURVEY","2001","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.13",""
"SURVEY","2001","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","78",""
"SURVEY","2001","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","40.1",""
"SURVEY","2000","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","154.5",""
"SURVEY","2000","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.1",""
"SURVEY","2000","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","73.6",""
"SURVEY","2000","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","40.2",""
"SURVEY","1999","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","155.6",""
"SURVEY","1999","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.27",""
"SURVEY","1999","YEAR","","COUNTY","IOWA","19","CENTRAL","50","BOONE","015","","","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","85.7",""
